image,name,Type,description,price,URL,,,,,
sneaker-E001.jpg,ASOS DESIGN Wide Fit Day Light chunky flatform Lace Up Sneakers,sneaker,This is ASOS DESIGN - your go-to for all the latest trends,$32.00 , https://www.asos.com/us/asos-design/asos-design-wide-fit-day-light-chunky-flatform-lace-up-sneakers/prd/8247955,,,,,
sneaker-E002.jpg,Striped Sneakers - White And Rainbow,sneaker, Your go-anywhere lace-up trainers have received a few sartorial updates. Side stripes offer an athletic aesthetic and a contrasting toe panel adds extra interest. Comfortable and seriously stylish,$120.00 , https://www.bodenusa.com/en-us/striped-sneakers-white-and-rainbow/sty-a0409-mul,,,,,
loafer-E001.jpg,The Luca,loafer,"Meet the Luca, our take on the timeless penny loafer. Details like a classic penny bridge, supple full-grain leather, and a sleek toe shape provide everything you need in a loafer, and more. An instant upgrade to your everyday attire.",$235.00 ,https://adelanteshoes.com/products/the-luca,,,,,
