image,name,Type,description,price,URL
sneaker-E001.jpg,ASOS DESIGN Wide Fit Day Light chunky flatform Lace Up Sneakers,sneaker,This is ASOS DESIGN - your go-to for all the latest trends,$32.00 , https://www.asos.com/us/asos-design/asos-design-wide-fit-day-light-chunky-flatform-lace-up-sneakers/prd/8247955
sneaker-E002.jpg,Striped Sneakers - White And Rainbow,sneaker, Your go-anywhere lace-up trainers have received a few sartorial updates. Side stripes offer an athletic aesthetic and a contrasting toe panel adds extra interest. Comfortable and seriously stylish,$120.00 , https://www.bodenusa.com/en-us/striped-sneakers-white-and-rainbow/sty-a0409-mul
loafer-E001.jpg,The Luca,loafer,"Meet the Luca, our take on the timeless penny loafer. Details like a classic penny bridge, supple full-grain leather, and a sleek toe shape provide everything you need in a loafer, and more. An instant upgrade to your everyday attire.",$235.00 ,https://adelanteshoes.com/products/the-luca
loafer-E002.jpg,Jane Loafer,loafer,"These loafers feature a square toe, angled beech wood heel, signature T+T wax stamp hardwear on a twisted strap, orthopedic memory foam insole, and a recyclable rubber outsole. 100% vegan and cruelty-free. Spot clean. Made in Los Angeles.",$585 ,https://www.olivela.com/products/taylor-thomas-jane-loafer-173102
heel-E001.jpg,The Nudistsong Sandal,"heel,sandal","These leather sandals feature open-toe vamp strap, leather insole, covered heel, and adjustable ankle strap with buckle closure.",$398 ,https://www.olivela.com/products/stuart-weitzman-the-nudistsong-sandal-8674
heel-E002.jpg,GARDEN GLAM CLEAR PUMPS,heel,"Garden Glam Clear Pumps got ya dancin’ in the flower beds, boo! It’s a garden party in these supa cute pumps that have a clear floral design, pointed toes N’ skinny heels.",$35.00 ,https://www.dollskill.com/clear-pumps-floral.html
slipper-E001.jpg,Quilted Slippers,slipper,"With plush patterned terry and ribbed rubber soles, these cushioned slippers are like pillows for your feet. Pair with our Classic Bathrobe and Classic Towels to dress yourself in comfort from head to toe.",$39 ,https://www.parachutehome.com/products/quilted-slippers
slipper-E002.jpg,Sasawashi Room Shoes,slipper,Room shoes are an essential element in every Japanese home. This breathable version is made from pill-free Sasawashi fabric that naturally absorbs moisture and odors. Antibacterial kumazasa extract and breathable washi fabric keep these slippers feeling fresh and comfortable with or without socks year round.,$67.00 ,https://www.verishop.com/product/p1640382627875
